id;breedte;diameter;gewichtleeg;gewichtvol;hoogte;inhoud;jaaronderhouduitgevoerd;kwaliteitsniveauactueel;kwaliteitsniveaugewenst;lengte;materiaal;verplaatsbaar;vorm
1;paralyze;mercerize lively circa;builder;nimble;outrageous;roughly;regarding blah dunk;when consequently although;annual far gosh;crush oof dirty;finally wrong;false;woot joshingly
2;rutabaga fooey fireman;aboard;yellowish although gadzooks;busk;provided aha wallpaper;baby questioningly;negative upright mid;virtual wherever;chillax;splendor;hmph splash;false;invade
3;salmon;deafening;for forenenst the;bleak ha;gosh absent;ha;beside;ick;ample regularly;some blah;proud;true;qua
4;before unknown;so landmine obediently;jot;mover unhealthy unless;till vengeful barring;fingernail worried;from an wisely;while;against;spectacular venture segregate;redden cartoon;false;yowza
5;absent;deserted though uh-huh;round when consequently;eicosanoid whistle abaft;twitter;elementary ripe;ex-wife incidentally judgementally;that quicker sniffle;wrong peep acclaim;pro hmph;what that ew;true;whoever lined
6;kookily huzzah gracefully;antiquity;phooey span despite;ducks pish;refuse continually oof;beanstalk sweltering;screamer a;late beneath notify;repeatedly during consequently;unto truthful;especially necessary;false;frantically upon
7;immure;aboard generally anti;art pro;but so stupendous;fire cuddle whenever;jump;over mmm;foolishly;misdial on beguile;mid;pace where;false;likable blissful boo
8;giving since unkempt;declaim kissingly;even;lacquerware;suburban gosh clearly;ukulele;bah quirkily digital;multitask leading;yelp regarding;per exhausted towards;forelimb reschedule as;false;pish among ugh
9;mysteriously;or however duh;respire bleak;expensive;skinny swiftly;dabble;clumsy cormorant nurture;lest rationalise tense;ficlet;extemporize preoccupation stretch;reef arm;false;inwardly
10;reorganize;overconfidently gleefully compact;short-term;regarding;ick grouchy gamble;seldom;psychoanalyse woot damp;retell boastfully usefully;censure fondly soupy;yippee;blah destock ick;false;oh intersperse
