id;aantalobstakels;aantalzijden;afvoeren;bereikbaarheid;bergendvermogen;bewerkingspercentage;bgtfysiekvoorkomen;bollen;breedte;breedteklassehaag;bvc;cultuurhistorischwaardevol;draagkrachtig;ecologischbeheer;fysiekvoorkomenimgeo;gewenstsluitingspercentage;groenobjectbereikbaarheidplus;groenobjectconstructielaag;groenobjectrand;groenobjectsoortnaam;haagvoetlengte;haagvoetoppervlakte;herplantplicht;hoogte;hoogteklassehaag;knipfrequentie;knipoppervlakte;kwaliteitsniveauactueel;kwaliteitsniveaugewenst;lengte;leverancier;maaifrequentie;maximalevalhoogte;eobjectnummer;obstakels;omtrek;ondergroei;oppervlakte;optalud;taludsteilte;type;typebewerking;typeomgevingsrisicoklasse;typeplus;typeplus_2;veiligheidsklasseboom
1;than meanwhile indeed;propound generally;true;amid liquid loads;encounter bah supposing;scaly eyebrow winkle;shoes;false;untidy;throughout woot;false;madly;true;true;freely identical;mmm shift shimmering;deserted drive;process yowza;sans the;lie utterly kill;unlike ew regarding;necklace;true;romanticize horrible;sternly;splay;smelt;qua yet animated;or vice;because undervalue unveil;except;meanwhile misapply;grace triangular faithfully;wrestle;true;sweep whimsical until;hungry whereas off;buttery whoever;naturally boycott;by vide;regularly ugh;sheepishly;vulgarise between;aggressive;inside;geez apud
2;tout blah;remorseful film;true;geez ick far;zesty;fussy ack;because lonely;true;finally miskey;sedately gosh;false;third;false;false;quirky oof;shameless;aboard slowly belittle;inside;pew which;drat except;blanch;digital strident beside;true;until notwithstanding checkroom;ew psst except;essay amid furthermore;to voluntarily untidy;so yippee;jettison overpower;since;disparity except amongst;quicker;oh zany blah;burial now;true;ethical lanky;zowie considerate pro;always;whose complete;secret that;seat;modulo till maelstrom;frankly situation;oppress;gasp minnow;yarmulke
3;voluntarily than so;anenst antique what;true;ew facelift;but ack;supposing um disassemble;tempting yet;true;gripping;rewarding;true;defiantly comprise shakily;true;true;brief rigidly nautical;undershoot;devoted permafrost;present nervously;whenever;boastfully interject as;drat;under boohoo once;true;brr;irresponsible however;interlock firm without;scourge boohoo;disincentivise;lest inconsequential;lest cheerfully;linear however unused;knottily colorless;cling youthfully;aggravating musician;false;rite hasty;radish fine;calmly so;boohoo heat or;hunter mmm so;but uncommon;athletic euphoric very;lest;hm;unnaturally eek beside;soupy
4;the occurrence phooey;explode sour;false;of letter;circa gadzooks anenst;gee cater;curtsy meh;true;thankfully save;rubbish;true;powerless athwart below;true;true;snip;record;notwithstanding ugh why;upside-down following comfort;through gah;lumpy vest;per sponsorship throughout;argue lighthearted mysteriously;false;gobbler sleepily underwriting;aw;puzzled till loudly;courageous push;educate;given ack;satiate baseball insidious;revelation supposing unacceptable;while;now palatalize mostly;some;true;somber annually;counterpart;evince pootle;especially;although;frightening athwart bathtub;oof duh embitter;aim outcome adjective;commonly sympathetic rough;spokesman clarity;ingest
5;portly attempt;acidly while diffract;false;when tensely;vastly;advice accord;even yearly;false;amidst yum;unaccountably pish ick;false;limply bravely ford;false;false;um above;frankly corridor;write increase um;beside beside colorfully;penny technology vaccinate;dearest illuminate veal;finally stalk;readily;false;why vainly astride;impartial;cheat;uh-huh luminous;ick pharmacist;worth busily beautify;yuck;object through;yum fiber;quixotic circa unlike;before pro;true;tepid rusty hot;silly aside;miserably claim;impressionable;terribly;clear;nor;cruelly anxiously pish;why;winter anti;entrance boo eek
6;sad deliberately;banner;true;supposing;before knottily;upside-down;gosh;true;um trail;reflecting;false;absent righteously about;true;true;incidentally;appropriate;award sans definition;unblinking fiercely;pessimistic till;gah respect duh;colorfully sloth;weakly;false;formulate feng even;because trader for;zowie among;swim where;guard next;politely ha overcooked;cherry;steepen via flavor;foolishly;bitter geez;past confiscate ches;true;equally unabashedly adorable;jumbo;unlike pfft abaft;yum vainly;cool;duh shop;bend truss;orchestra heyday banjo;unimportant provided near;lest overshoot soft;what agonizing
7;terrify;spectrograph uncomfortable ford;false;defiantly atop honestly;gee;helpfully memorable;bony;false;exorcize likewise;incidentally into;false;fare sparkling;true;false;capital draw girlfriend;encounter what than;reform;overheard disestablish which;small elementary;tract hastily ginger;consequently;kiosk;true;joshingly licorice;until suede forelimb;longingly;neatly;wetly than;spy reinstate;or gosh nutritious;fantastic but;state for honest;ack woot ugh;including petty rest;false;bountiful;slick pep loll;keep;psst hmph considering;seriously standard;finally;since sherry;onto;fat;cheerfully rural;wager
8;willing;since than;false;near;coaxingly potentially;pressure mini-skirt zoot-suit;attainment aw;false;cycle enchant hot;hasten;false;misrepresent;false;true;fast;concerning barrel;whenever charger;pfft;aside partial;rightfully consequently communist;including brr;yahoo;true;after;excluding zany naive;too likewise nor;insecure cabbage;like overplay;rust scarecrow psst;warmly;bitterly;astride try;prospect;even loom clarify;true;overflight louse;meanwhile against;decommission jovial;mealy kiddingly blah;forward because;winkle regarding;flatboat unknown gee;bah;follow pish;suddenly;cute yawningly
9;throughout;consequently;false;interestingly those;ironclad;worldly lifestyle elicit;pepperoni;true;decentralize treasured;supposing motor;true;reluctantly abaft when;true;true;coaxingly meh yippee;winding;ew;even angina within;yahoo;brawl adept destock;yearningly weakly;bow;true;for presuppose;however;reload what;yuck advance soon;pine off for;whenever via;nice concerning militate;latter;apropos aggravating lively;midwife towards ouch;provided nickname ga;true;kibitz;basil pong;ouch plus chipmunk;yippee;after;than stunning;bristle justly;whenever provided;translation innocently;crunch;whirlwind indeed faithfully
10;the;throughout wherever;false;even;wonderfully on inasmuch;likewise gadzooks reliable;whether correctly powerless;true;whose;yawningly wrinkle fortunately;true;alternative honestly whoever;false;true;surprisingly traumatize;vigilant sport;supposing deliberately fantastic;zowie atop nor;big immerse;um alert;olive;alongside scared;false;to finesse;round;everlasting intoxicate regal;endanger choker;lest;respectful aha bah;indeed;clipper;chief across;elegantly indicate;into;true;enthusiastically if;defiantly revive;per gosh gah;ew;up;boo pfft;gleefully sanctity;through;lapdog as;reflecting lead liquidize;warm-up anenst boo
